file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,69
symcc-assertions-1.smt2,unsat,66
symcc-assertions-10.smt2,sat,72
symcc-assertions-11.smt2,sat,76
symcc-assertions-12.smt2,sat,87
symcc-assertions-13.smt2,sat,84
symcc-assertions-14.smt2,sat,83
symcc-assertions-15.smt2,sat,75
symcc-assertions-16.smt2,sat,84
symcc-assertions-17.smt2,sat,80
symcc-assertions-18.smt2,sat,80
symcc-assertions-19.smt2,sat,81
symcc-assertions-2.smt2,sat,70
symcc-assertions-20.smt2,sat,87
symcc-assertions-21.smt2,sat,104
symcc-assertions-22.smt2,sat,88
symcc-assertions-23.smt2,sat,97
symcc-assertions-24.smt2,unsat,69
symcc-assertions-25.smt2,unsat,70
symcc-assertions-26.smt2,sat,109
symcc-assertions-27.smt2,sat,107
symcc-assertions-28.smt2,sat,109
symcc-assertions-29.smt2,sat,110
symcc-assertions-3.smt2,sat,72
symcc-assertions-30.smt2,sat,109
symcc-assertions-31.smt2,sat,109
symcc-assertions-32.smt2,sat,111
symcc-assertions-33.smt2,sat,109
symcc-assertions-34.smt2,sat,110
symcc-assertions-35.smt2,sat,107
symcc-assertions-36.smt2,sat,116
symcc-assertions-37.smt2,sat,116
symcc-assertions-38.smt2,sat,118
symcc-assertions-39.smt2,sat,126
symcc-assertions-4.smt2,sat,75
symcc-assertions-40.smt2,sat,117
symcc-assertions-41.smt2,sat,131
symcc-assertions-42.smt2,sat,136
symcc-assertions-43.smt2,sat,134
symcc-assertions-44.smt2,unsat,70
symcc-assertions-45.smt2,unsat,67
symcc-assertions-46.smt2,sat,179
symcc-assertions-47.smt2,sat,180
symcc-assertions-48.smt2,sat,166
symcc-assertions-49.smt2,sat,157
symcc-assertions-50.smt2,sat,163
symcc-assertions-51.smt2,sat,170
symcc-assertions-52.smt2,sat,166
symcc-assertions-53.smt2,sat,166
symcc-assertions-54.smt2,sat,168
