file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,13157
symcc-unsat-10.smt2,TIMEOUT,300208
symcc-unsat-100.smt2,TIMEOUT,300196
symcc-unsat-101.smt2,TIMEOUT,300183
symcc-unsat-102.smt2,TIMEOUT,300179
symcc-unsat-103.smt2,TIMEOUT,300194
symcc-unsat-104.smt2,TIMEOUT,300194
symcc-unsat-105.smt2,TIMEOUT,300168
symcc-unsat-106.smt2,TIMEOUT,300220
symcc-unsat-107.smt2,TIMEOUT,300182
symcc-unsat-108.smt2,TIMEOUT,300179
symcc-unsat-109.smt2,TIMEOUT,300235
symcc-unsat-11.smt2,TIMEOUT,300202
symcc-unsat-110.smt2,TIMEOUT,300209
symcc-unsat-111.smt2,TIMEOUT,300237
symcc-unsat-112.smt2,TIMEOUT,300204
symcc-unsat-113.smt2,TIMEOUT,300182
symcc-unsat-114.smt2,TIMEOUT,300227
symcc-unsat-115.smt2,TIMEOUT,300222
symcc-unsat-116.smt2,TIMEOUT,300202
symcc-unsat-117.smt2,TIMEOUT,300161
symcc-unsat-118.smt2,TIMEOUT,300173
symcc-unsat-119.smt2,TIMEOUT,3410571
symcc-unsat-12.smt2,TIMEOUT,300337
symcc-unsat-120.smt2,TIMEOUT,300192
symcc-unsat-121.smt2,TIMEOUT,300210
symcc-unsat-122.smt2,TIMEOUT,300204
symcc-unsat-123.smt2,TIMEOUT,300204
symcc-unsat-124.smt2,TIMEOUT,300192
symcc-unsat-125.smt2,TIMEOUT,300174
symcc-unsat-126.smt2,TIMEOUT,300170
symcc-unsat-127.smt2,TIMEOUT,300169
symcc-unsat-128.smt2,TIMEOUT,300223
symcc-unsat-129.smt2,TIMEOUT,300181
symcc-unsat-13.smt2,TIMEOUT,300174
symcc-unsat-130.smt2,TIMEOUT,300240
symcc-unsat-131.smt2,TIMEOUT,300243
symcc-unsat-132.smt2,TIMEOUT,300172
symcc-unsat-133.smt2,TIMEOUT,300212
symcc-unsat-134.smt2,TIMEOUT,300161
symcc-unsat-135.smt2,TIMEOUT,300165
symcc-unsat-136.smt2,TIMEOUT,300170
symcc-unsat-137.smt2,TIMEOUT,300178
symcc-unsat-138.smt2,TIMEOUT,300153
symcc-unsat-139.smt2,TIMEOUT,300150
symcc-unsat-140.smt2,TIMEOUT,300157
symcc-unsat-141.smt2,TIMEOUT,300151
symcc-unsat-142.smt2,TIMEOUT,300132
symcc-unsat-143.smt2,TIMEOUT,300118
symcc-unsat-144.smt2,TIMEOUT,300110
