file_index,file_name,result,runtime_ms,full_path
1,symcc-unsat-0.smt2,sat,149,./yuarel/unsat/symcc-unsat-0.smt2
2,symcc-unsat-1.smt2,sat,214,./yuarel/unsat/symcc-unsat-1.smt2
3,symcc-unsat-10.smt2,TIMEOUT,300249,./yuarel/unsat/symcc-unsat-10.smt2
4,symcc-unsat-11.smt2,TIMEOUT,300258,./yuarel/unsat/symcc-unsat-11.smt2
5,symcc-unsat-12.smt2,TIMEOUT,300370,./yuarel/unsat/symcc-unsat-12.smt2
6,symcc-unsat-13.smt2,TIMEOUT,300484,./yuarel/unsat/symcc-unsat-13.smt2
7,symcc-unsat-14.smt2,TIMEOUT,300236,./yuarel/unsat/symcc-unsat-14.smt2
8,symcc-unsat-15.smt2,ERROR(134),515,./yuarel/unsat/symcc-unsat-15.smt2
9,symcc-unsat-16.smt2,TIMEOUT,300228,./yuarel/unsat/symcc-unsat-16.smt2
10,symcc-unsat-17.smt2,ERROR(134),378,./yuarel/unsat/symcc-unsat-17.smt2
11,symcc-unsat-18.smt2,ERROR(134),430,./yuarel/unsat/symcc-unsat-18.smt2
12,symcc-unsat-19.smt2,ERROR(134),432,./yuarel/unsat/symcc-unsat-19.smt2
13,symcc-unsat-2.smt2,sat,375,./yuarel/unsat/symcc-unsat-2.smt2
14,symcc-unsat-20.smt2,ERROR(134),361,./yuarel/unsat/symcc-unsat-20.smt2
15,symcc-unsat-21.smt2,TIMEOUT,300302,./yuarel/unsat/symcc-unsat-21.smt2
16,symcc-unsat-22.smt2,ERROR(134),479,./yuarel/unsat/symcc-unsat-22.smt2
17,symcc-unsat-23.smt2,ERROR(134),585,./yuarel/unsat/symcc-unsat-23.smt2
18,symcc-unsat-24.smt2,ERROR(134),661,./yuarel/unsat/symcc-unsat-24.smt2
19,symcc-unsat-25.smt2,ERROR(134),643,./yuarel/unsat/symcc-unsat-25.smt2
20,symcc-unsat-26.smt2,ERROR(134),680,./yuarel/unsat/symcc-unsat-26.smt2
21,symcc-unsat-27.smt2,TIMEOUT,300194,./yuarel/unsat/symcc-unsat-27.smt2
22,symcc-unsat-28.smt2,TIMEOUT,300285,./yuarel/unsat/symcc-unsat-28.smt2
23,symcc-unsat-29.smt2,TIMEOUT,300192,./yuarel/unsat/symcc-unsat-29.smt2
24,symcc-unsat-3.smt2,TIMEOUT,300205,./yuarel/unsat/symcc-unsat-3.smt2
25,symcc-unsat-30.smt2,TIMEOUT,300198,./yuarel/unsat/symcc-unsat-30.smt2
26,symcc-unsat-31.smt2,TIMEOUT,300199,./yuarel/unsat/symcc-unsat-31.smt2
27,symcc-unsat-32.smt2,TIMEOUT,300190,./yuarel/unsat/symcc-unsat-32.smt2
28,symcc-unsat-33.smt2,TIMEOUT,300206,./yuarel/unsat/symcc-unsat-33.smt2
29,symcc-unsat-34.smt2,TIMEOUT,300199,./yuarel/unsat/symcc-unsat-34.smt2
30,symcc-unsat-35.smt2,TIMEOUT,300192,./yuarel/unsat/symcc-unsat-35.smt2
31,symcc-unsat-36.smt2,TIMEOUT,300192,./yuarel/unsat/symcc-unsat-36.smt2
32,symcc-unsat-37.smt2,TIMEOUT,300236,./yuarel/unsat/symcc-unsat-37.smt2
33,symcc-unsat-38.smt2,TIMEOUT,300198,./yuarel/unsat/symcc-unsat-38.smt2
34,symcc-unsat-39.smt2,TIMEOUT,300241,./yuarel/unsat/symcc-unsat-39.smt2
35,symcc-unsat-4.smt2,TIMEOUT,300240,./yuarel/unsat/symcc-unsat-4.smt2
36,symcc-unsat-40.smt2,TIMEOUT,300204,./yuarel/unsat/symcc-unsat-40.smt2
37,symcc-unsat-41.smt2,TIMEOUT,300164,./yuarel/unsat/symcc-unsat-41.smt2
38,symcc-unsat-42.smt2,TIMEOUT,300157,./yuarel/unsat/symcc-unsat-42.smt2
39,symcc-unsat-43.smt2,TIMEOUT,300225,./yuarel/unsat/symcc-unsat-43.smt2
40,symcc-unsat-44.smt2,TIMEOUT,300226,./yuarel/unsat/symcc-unsat-44.smt2
41,symcc-unsat-45.smt2,TIMEOUT,300215,./yuarel/unsat/symcc-unsat-45.smt2
42,symcc-unsat-46.smt2,TIMEOUT,300192,./yuarel/unsat/symcc-unsat-46.smt2
43,symcc-unsat-47.smt2,TIMEOUT,300121,./yuarel/unsat/symcc-unsat-47.smt2
44,symcc-unsat-48.smt2,TIMEOUT,300125,./yuarel/unsat/symcc-unsat-48.smt2
45,symcc-unsat-49.smt2,TIMEOUT,300114,./yuarel/unsat/symcc-unsat-49.smt2
46,symcc-unsat-5.smt2,TIMEOUT,300141,./yuarel/unsat/symcc-unsat-5.smt2
47,symcc-unsat-6.smt2,TIMEOUT,300142,./yuarel/unsat/symcc-unsat-6.smt2
48,symcc-unsat-7.smt2,TIMEOUT,300142,./yuarel/unsat/symcc-unsat-7.smt2
49,symcc-unsat-8.smt2,TIMEOUT,300140,./yuarel/unsat/symcc-unsat-8.smt2
50,symcc-unsat-9.smt2,TIMEOUT,300171,./yuarel/unsat/symcc-unsat-9.smt2
