file_index,file_name,result,runtime_ms,full_path
1,symcc-unsat-0.smt2,sat,10,./string_only_constraints/minicsv/unsat/symcc-unsat-0.smt2
2,symcc-unsat-1.smt2,sat,10,./string_only_constraints/minicsv/unsat/symcc-unsat-1.smt2
3,symcc-unsat-10.smt2,sat,38,./string_only_constraints/minicsv/unsat/symcc-unsat-10.smt2
4,symcc-unsat-11.smt2,sat,39,./string_only_constraints/minicsv/unsat/symcc-unsat-11.smt2
5,symcc-unsat-12.smt2,sat,49,./string_only_constraints/minicsv/unsat/symcc-unsat-12.smt2
6,symcc-unsat-13.smt2,sat,43,./string_only_constraints/minicsv/unsat/symcc-unsat-13.smt2
7,symcc-unsat-14.smt2,sat,41,./string_only_constraints/minicsv/unsat/symcc-unsat-14.smt2
8,symcc-unsat-15.smt2,sat,87,./string_only_constraints/minicsv/unsat/symcc-unsat-15.smt2
9,symcc-unsat-16.smt2,sat,379,./string_only_constraints/minicsv/unsat/symcc-unsat-16.smt2
10,symcc-unsat-17.smt2,sat,143,./string_only_constraints/minicsv/unsat/symcc-unsat-17.smt2
11,symcc-unsat-18.smt2,sat,131,./string_only_constraints/minicsv/unsat/symcc-unsat-18.smt2
12,symcc-unsat-19.smt2,sat,57,./string_only_constraints/minicsv/unsat/symcc-unsat-19.smt2
13,symcc-unsat-2.smt2,sat,12,./string_only_constraints/minicsv/unsat/symcc-unsat-2.smt2
14,symcc-unsat-20.smt2,sat,456,./string_only_constraints/minicsv/unsat/symcc-unsat-20.smt2
15,symcc-unsat-21.smt2,sat,493,./string_only_constraints/minicsv/unsat/symcc-unsat-21.smt2
16,symcc-unsat-22.smt2,sat,245,./string_only_constraints/minicsv/unsat/symcc-unsat-22.smt2
17,symcc-unsat-23.smt2,sat,42,./string_only_constraints/minicsv/unsat/symcc-unsat-23.smt2
18,symcc-unsat-24.smt2,sat,42,./string_only_constraints/minicsv/unsat/symcc-unsat-24.smt2
19,symcc-unsat-25.smt2,sat,41,./string_only_constraints/minicsv/unsat/symcc-unsat-25.smt2
20,symcc-unsat-26.smt2,sat,72,./string_only_constraints/minicsv/unsat/symcc-unsat-26.smt2
21,symcc-unsat-27.smt2,sat,90,./string_only_constraints/minicsv/unsat/symcc-unsat-27.smt2
22,symcc-unsat-28.smt2,sat,71,./string_only_constraints/minicsv/unsat/symcc-unsat-28.smt2
23,symcc-unsat-29.smt2,sat,66,./string_only_constraints/minicsv/unsat/symcc-unsat-29.smt2
24,symcc-unsat-3.smt2,sat,11,./string_only_constraints/minicsv/unsat/symcc-unsat-3.smt2
25,symcc-unsat-30.smt2,sat,65,./string_only_constraints/minicsv/unsat/symcc-unsat-30.smt2
26,symcc-unsat-31.smt2,sat,107,./string_only_constraints/minicsv/unsat/symcc-unsat-31.smt2
27,symcc-unsat-32.smt2,sat,72,./string_only_constraints/minicsv/unsat/symcc-unsat-32.smt2
28,symcc-unsat-33.smt2,sat,121,./string_only_constraints/minicsv/unsat/symcc-unsat-33.smt2
29,symcc-unsat-34.smt2,sat,107,./string_only_constraints/minicsv/unsat/symcc-unsat-34.smt2
30,symcc-unsat-35.smt2,sat,71,./string_only_constraints/minicsv/unsat/symcc-unsat-35.smt2
31,symcc-unsat-36.smt2,sat,99,./string_only_constraints/minicsv/unsat/symcc-unsat-36.smt2
32,symcc-unsat-37.smt2,sat,120,./string_only_constraints/minicsv/unsat/symcc-unsat-37.smt2
33,symcc-unsat-38.smt2,sat,115,./string_only_constraints/minicsv/unsat/symcc-unsat-38.smt2
34,symcc-unsat-39.smt2,sat,124,./string_only_constraints/minicsv/unsat/symcc-unsat-39.smt2
35,symcc-unsat-4.smt2,sat,12,./string_only_constraints/minicsv/unsat/symcc-unsat-4.smt2
36,symcc-unsat-40.smt2,sat,102,./string_only_constraints/minicsv/unsat/symcc-unsat-40.smt2
37,symcc-unsat-41.smt2,sat,228,./string_only_constraints/minicsv/unsat/symcc-unsat-41.smt2
38,symcc-unsat-42.smt2,sat,93,./string_only_constraints/minicsv/unsat/symcc-unsat-42.smt2
39,symcc-unsat-43.smt2,sat,80,./string_only_constraints/minicsv/unsat/symcc-unsat-43.smt2
40,symcc-unsat-44.smt2,sat,76,./string_only_constraints/minicsv/unsat/symcc-unsat-44.smt2
41,symcc-unsat-45.smt2,sat,76,./string_only_constraints/minicsv/unsat/symcc-unsat-45.smt2
42,symcc-unsat-46.smt2,sat,105,./string_only_constraints/minicsv/unsat/symcc-unsat-46.smt2
43,symcc-unsat-47.smt2,sat,141,./string_only_constraints/minicsv/unsat/symcc-unsat-47.smt2
44,symcc-unsat-48.smt2,sat,130,./string_only_constraints/minicsv/unsat/symcc-unsat-48.smt2
45,symcc-unsat-49.smt2,sat,132,./string_only_constraints/minicsv/unsat/symcc-unsat-49.smt2
46,symcc-unsat-50.smt2,sat,95,./string_only_constraints/minicsv/unsat/symcc-unsat-50.smt2
47,symcc-unsat-51.smt2,sat,139,./string_only_constraints/minicsv/unsat/symcc-unsat-51.smt2
48,symcc-unsat-52.smt2,sat,124,./string_only_constraints/minicsv/unsat/symcc-unsat-52.smt2
49,symcc-unsat-53.smt2,sat,174,./string_only_constraints/minicsv/unsat/symcc-unsat-53.smt2
50,symcc-unsat-54.smt2,sat,172,./string_only_constraints/minicsv/unsat/symcc-unsat-54.smt2
